Car Model,Condition,Mileage,Price (USD),Monthly Payment,Dealer Name,Year,brand,Mileage_mi,Condition_car
2023 BMW M2 Base,Used,2496,63000.0,1184.0,Murgado Ford of Chicago,2023,BMW,2496.0,Used
2020 Dodge Charger SXT,Used,98302,14995.0,282.0,Blue Sky Auto Sales - Brighton Park,2020,Dodge,98302.0,Used
2016 Scion iM Base,Used,72040,12690.0,239.0,Mcgrath Evanston Subaru,2016,Scion,72040.0,Used
2022 Volvo XC60 Recharge Plug-In Hybrid T8 Inscription,Used,31580,38998.0,733.0,CarMax Birmingham,2022,Volvo,31580.0,Used
2012 Mitsubishi Lancer SE,Used,54197,9995.0,188.0,Moto Zone Inc.,2012,Mitsubishi,54197.0,Used
2023 Chevrolet Bolt EUV FWD LT,Used,19045,18995.0,357.0,Luxury Motors Credit,2023,Chevrolet,19045.0,Used
1984 BMW 733 733i,Used,139186,17985.0,338.0,Chicago Cars US,1984,BMW,139186.0,Used
2017 Toyota Highlander XLE,Used,84581,23998.0,451.0,CarMax Charleston,2017,Toyota,84581.0,Used
2021 Lexus ES 250 250,Used,25336,29708.0,558.0,The Autobarn Volkswagen of Countryside,2021,Lexus,25336.0,Used
2025 Chevrolet Trailblazer LT,New,,27970.0,526.0,Jennings Chevy / VW,2025,Chevrolet,,New
2017 Lexus GS 350 F Sport,Used,44156,30888.0,581.0,Chicago Auto Place,2017,Lexus,44156.0,Used
2020 Lincoln Continental Reserve,Used,48625,31395.0,590.0,Napleton Autowerks River Oaks,2020,Lincoln,48625.0,Used
2021 Lexus ES 250 250,Used,13860,33995.0,639.0,Lombard Toyota,2021,Lexus,13860.0,Used
2014 Cadillac CTS-V Base,Used,12664,52995.0,996.0,D&M Motorsports,2014,Cadillac,12664.0,Used
2020 Lexus RC 350 F Sport,Used,30200,36700.0,690.0,Volvo Cars Lisle,2020,Lexus,30200.0,Used
2011 Audi TTS 2.0T Premium Plus,Used,34316,22995.0,432.0,Auto Showcase of Carol Stream,2011,Audi,34316.0,Used
2021 BMW M2 Competition,Used,37060,48849.0,918.0,Gravity Autos Chicago,2021,BMW,37060.0,Used
